Title	URL	Assignees	Status	Estimated size	Real size	Labels
Connect Elevenlabs voice call with Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/242		Product Backlog			Backend, Frontend, high priority
Connect Voice Call Mode with App UI	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/215		Product Backlog			Frontend, medium priority
Voice Call Transcription	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/183		Product Backlog			Frontend, medium priority
Formatting of chat messages	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/232		Product Backlog			Frontend, medium priority
Displaying sources in LLM answers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/214		Product Backlog			Frontend, medium priority
Integrate full Research Paper Knowledge Base into RAG contextualisation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/243		Product Backlog			Backend, high priority
Visualise Knowledge Graph	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/244		Product Backlog			Backend, Frontend, high priority
Ensure Knowledge Graph Correctness	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/145		Product Backlog			Backend, medium priority
Sources for an LLM Answer	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/213		Product Backlog			Backend, medium priority
Add Chat Message Thinking States	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/196		Sprint Backlog	2		Frontend, low priority
Knowledge Graph Context + Research Paper RAG Hybrid LLM Approach	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/187	hasnatahmed331, MuhammadZeeshan2	Sprint Backlog	8		Backend, high priority
AI Voice Call using ElevenLabs	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/182	hannes-v	In Progress	8		Frontend, high priority
Voice Call Indicator	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/125	andrewluka	In Progress	3		Frontend, medium priority, visual
Expo Build Pipeline	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/234	hannes-v	Awaiting Review			Frontend
Chat Naming function	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/236	AbdulHaseeb-SE	Awaiting Review	5		Backend, Frontend, medium priority
Downloading all Research Papers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/233	Hossam-Amer	Awaiting Review	5		Backend, high priority
Custom LLM API for Elevenlabs Voice Chat Agents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/188	hasnatahmed331, MuhammadZeeshan2	Awaiting Review	8		Backend, medium priority
Rate Limiting on document upload	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/210	hasnatahmed331, MuhammadZeeshan2	Feature Archive	3		Backend, low priority
Scraping Research Papers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/186	Hossam-Amer	Feature Archive	8	8	Backend, high priority
Fix: Authentication	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/208	AbdulHaseeb-SE	Feature Archive	3	3	Backend, Frontend, high priority
Connect Chat Screen with LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/152	VogtIndustries	Feature Archive	3	3	Frontend, high priority
Fix: Retrieving the Knowledge Graph	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/73	AbdulHaseeb-SE, hasnatahmed331	Feature Archive	2	2	Backend, Frontend, high priority
