category,channel,focus,url
Prostate,Prostate Cancer Research Institute (PCRI),"Patient education, webinars, treatment updates",https://www.youtube.com/channel/UCPYrfTJMCTfhBNZxb31Z1tg
Prostate,Prostate Cancer Foundation (PCF),Research updates and patient education,https://www.youtube.com/channel/UCIDj9VHBN-Ly-NYp9itgMxg
Prostate,ZERO Prostate Cancer,"Support, survivorship, advocacy",https://www.youtube.com/channel/UC5TTkqc3lQcej4XnTXz4MqQ
Prostate,The Urology Foundation,Urology education including prostate cancer,https://www.youtube.com/channel/UCLBZ58KNfk6oVwutySwqzjw
Prostate,European Association of Urology (EAU),Expert lectures and guideline updates,https://www.youtube.com/channel/UCuBt1xdv2n7GPawh7lcqDRA
Prostate,American Urological Association (AUA),Professional and patient education,https://www.youtube.com/channel/UCTyj0qXIIaqiU_Sa9P4Ow8w
Bladder,Bladder Cancer Advocacy Network (BCAN),Bladder cancer patient education,https://www.youtube.com/channel/UC_V4H4rpxRceEFR2LzfvhQQ
Bladder,American Urological Association (AUA),Bladder cancer treatment content,https://www.youtube.com/channel/UCTyj0qXIIaqiU_Sa9P4Ow8w
Bladder,European Association of Urology (EAU),Guidelines and expert lectures,https://www.youtube.com/channel/UCuBt1xdv2n7GPawh7lcqDRA
Bladder,Urology Care Foundation,Patient education,https://www.youtube.com/channel/UCHCZ1sbVTYhpM1qmKFiOJJQ
Bladder,Cancer Research UK,Bladder cancer explainers,https://www.youtube.com/channel/UC01cT8kXmbVH6-mzwaa2qIQ
General Cancer,American Society of Clinical Oncology (ASCO),Evidence-based oncology education,https://www.youtube.com/channel/UCdN18S7Vfm3Rs_BPTs4CFkw
General Cancer,National Cancer Institute (NCI),Research and treatment updates,https://www.youtube.com/channel/UCRVdFy0DLWhIApG8LWDzV1w
General Cancer,MD Anderson Cancer Center,Patient education,https://www.youtube.com/channel/UCMla9EyQDlPXUBsWOwmMqZg
General Cancer,Mayo Clinic,Cancer education,https://www.youtube.com/channel/UC8fQzKHIhSoZeSq3bwQx4mw
General Cancer,Memorial Sloan Kettering Cancer Center,Survivorship and treatment,https://www.youtube.com/channel/UC7CfDrRVN3yMVq7gq17hZdQ
General Cancer,Dana-Farber Cancer Institute,Research and patient education,https://www.youtube.com/channel/UCmo02peDKZvgpJj3TT2Jt_A
General Cancer,Cleveland Clinic,Cancer education,https://www.youtube.com/channel/UCxyiSz4m161Z6frOsFxJpgw
General Cancer,Macmillan Cancer Support,Living with cancer,https://www.youtube.com/channel/UCrG_xSjSf5TtFDZGexsS4dQ
General Cancer,Cancer Research UK,General cancer education,https://www.youtube.com/channel/UC01cT8kXmbVH6-mzwaa2qIQ
Nutrition & Lifestyle,The Oncology Dietitian,Oncology nutrition,https://www.youtube.com/channel/UCG4NSKCNHZYu54rFzvzZE4Q
Nutrition & Lifestyle,NutritionFacts.org,Nutrition research summaries,https://www.youtube.com/channel/UCddn8dUxYdgJz3Qr5mjADtA
Nutrition & Lifestyle,American Institute for Cancer Research (AICR),Cancer prevention and nutrition,https://www.youtube.com/channel/UCVMd2_87ji2uAsfxyiKjveg
Nutrition & Lifestyle,MD Anderson Cancer Center,Nutrition during treatment,https://www.youtube.com/channel/UCMla9EyQDlPXUBsWOwmMqZg
Nutrition & Lifestyle,Mayo Clinic,Healthy eating and survivorship,https://www.youtube.com/channel/UC8fQzKHIhSoZeSq3bwQx4mw
Nutrition & Lifestyle,Memorial Sloan Kettering Cancer Center,Nutrition and supportive care,https://www.youtube.com/channel/UC7CfDrRVN3yMVq7gq17hZdQ
