Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
Pinging people in Slack for them to receive notifications and answer quickly	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/237		In Progress		
Async Progress Report - Saturday --> Optional Meeting scheduled afterwards	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/180		Done		
Final Meeting to set up mid-project release	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/112		Done		
Backup Video for Mid-Project Presentation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/111		Done		
User Test Before Mid-Project Release --> Find Bugs	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/110		Done		
Prepare releases before the meeting	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/32		Done		
User Test before Last Sprint	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/92		Done		
Slack License	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/84		Done		
Use Admin Rights for Branch Protection Rule	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/83		Done		
Finish Work until Monday	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/78		Done		
Backend Frontend Cross Communication --> Async and individual calls if necessary	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/79		Done		
Finish team meetings within the 90-minute time box	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/34		Done		
Schedule an architecture and tech stack alignment meeting	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/29		Done		
Improve punctuality for team meetings	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/31		Done		
Improve PO-Developer collaboration in ticket creation	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/33		Done		
Improve visibility and awareness of Slack channels	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/30		Done		
Improve camera usage during team meetings	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/28		Done		
Resolve knowledge graph pipeline issues	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/157		Done		
Resolve Knowledge Graph Questions with Industry Partner	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/158		Done		
Improve Build Piplineline with automatic artifacts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/85		Done		
Frontend + Backend Meeting for Extraction Pipeline Fix	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/173		Done		
Backend - small meeting at beginning to schedule tasks	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/211		Done		
More granular issues	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/238		Done		
App apk access for the demo video	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/251		Done		
